Year;Country;value
2002;Slovenia;5.422695
2014;Slovenia;3.528875
2008;Slovenia;5.035424
1985;Spain;92.947788
2002;Spain;87.431133
2008;Spain;44.197955
2012;Ukraine;152.298516
2006;Ukraine;144.238254
2013;Ukraine;148.129761
2005;Ukraine;134.109027
2007;Ukraine;148.121058
2011;Ukraine;150.403374
1994;Turkey;89.549166
1991;Turkey;86.950648
2011;Thailand;58.65
2000;South Africa;315.818212
1993;South Africa;268.881552
1995;Swaziland;0.384228
2010;Swaziland;0.276159
2001;Zimbabwe;1.542835
2012;Sri Lanka;1.567621
1997;Estonia;0.353458
1993;Estonia;0.120204
2011;Egypt;2.107638
1996;Chile;8.967262
1983;Egypt;2.615133
1995;Former Serbia and Montenegro;24.192152
1986;Former Yugoslavia;140.797446
1983;Former Yugoslavia;117.065916
1984;Former U.S.S.R.;1266.162156
1981;France;100.229892
1990;France;67.388652
1995;France;53.202816
1995;Greece;25.722049
1994;Greece;26.467852
1985;France;85.71901
1987;Congo (Kinshasa);0.399528
1993;Congo (Kinshasa);0.203372
2009;Congo (Kinshasa);0.406116
1980;Congo (Kinshasa);0.39874
2013;Colombia;15.152551
2006;Croatia;1.95431
1984;Cuba;0.314937
1981;Cuba;0.188894
2006;Dominican Republic;1.462432
1991;Germany;441.418861
1999;Germany;278.403966
2002;Germany;297.805468
2010;Denmark;12.560752
2007;Denmark;14.768645
2009;Denmark;12.736512
1988;Denmark;20.063876
1985;Denmark;24.313212
1987;Germany, East;382.640464
1988;Germany, East;381.621569
1981;Germany, West;260.082585
1990;Germany, West;213.819957
1980;Germany, West;255.28203
2001;Germany;292.768264
1989;Greece;23.111095
2006;Egypt;3.565804
1980;Egypt;2.065883
1995;Egypt;3.15976
2002;Congo (Kinshasa);0.304731
2008;Congo (Kinshasa);0.304779
2007;Congo (Kinshasa);0.304728
2010;Czech Republic;64.732712
1984;Denmark;19.994652
1987;Denmark;23.081458
1995;Croatia;0.476392
1997;France;49.05627
1989;France;68.97798
2012;Dominican Republic;1.731736
1996;Dominican Republic;0.184208
2000;Dominican Republic;0.184482
1999;Dominican Republic;0.092025
2008;Finland;11.187388
2001;Estonia;0.144224
1996;Estonia;0.728001
1984;Finland;8.085032
1982;Finland;9.147768
1990;Former Czechoslovakia;134.017488
1984;Former Czechoslovakia;158.77332
1986;Colombia;10.655876
1999;Colombia;9.226956
2002;Finland;12.567208
2000;Finland;10.853758
2006;Finland;17.226306
1988;China;1780.307955
1990;China;1997.670477
1981;China;1195.97343
2014;Germany;287.769008
1998;Germany;292.07142
2009;Georgia;0.368268
2004;France;43.196776
2005;France;45.894032
2002;Greece;30.975858
2014;Georgia;0.64526
2012;Georgia;0.4609
2000;Guatemala;0.368152
2013;Guatemala;1.469472
2009;Guatemala;1.010262
2006;Guatemala;0.91856
2009;Honduras;0.180124
2011;Honduras;0.18096
2014;Honduras;0.17823
2003;Greece;31.325946
1983;Korea, North;67.865916
1989;Korea, North;50.563465
1998;Korea, North;35.862365
2001;Korea, North;44.121816
2009;Korea, North;58.227473
1999;Korea, North;40.0244
2005;Greece;31.626564
2004;Greece;31.88922
1983;Haiti;0.184836
1998;Kenya;0.276498
2006;Korea, South;185.910812
2012;Korea, South;269.968136
2008;Korea, South;220.119592
1994;Korea, South;90.244513
2006;Japan;373.78512
1990;Japan;245.30688
1994;Netherlands;36.237047
1997;Netherlands;43.129827
1996;Netherlands;35.640864
1987;Netherlands;28.750036
2012;Netherlands;24.423742
1990;Netherlands;37.15855
1989;Netherlands;31.46751
2002;Nepal;0.368352
2013;Nepal;0.736696
2003;Nepal;0.46075
1987;Mongolia;10.598896
1983;Mongolia;7.667946
1984;Mongolia;7.47656
2012;Moldova;0.441576
2007;Moldova;0.331947
1998;Moldova;1.017313
1994;Moldova;3.972039
1982;Mongolia;7.5808
